Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId	SourceDisplayName
Preguntas para la reflexión paso 1	La reflexión y discusión en torno a las siguientes preguntas ayudará a lograr el primer paso.\n• ¿Cuáles son las asignaturas más descendidas en los resultados? ¿En qué niveles se\nproducen los puntajes más bajos?\n• Si observan más de un problema, les sugerimos responder a las siguientes preguntas para\norientar su toma de decisión:\n- ¿Hay alguna dimensión en la que se les haya solicitado poner énfasis porque conlleva a\nun objetivo estratégico?\n- Si están revisando los resultados Simce no se queden solo en el puntaje, observen las\ntendencias y reconozcan si existen ámbitos que aún estén descendidos pero que manifiesten\nalguna tendencia al alza que quizás no sea necesario abordar en esta instancia. También\nes importante analizar la distribución de los estudiantes en cuanto al cumplimiento de los\nEstándares de Aprendizaje: ¿Cuántos estudiantes están en el nivel Insuficiente, Elemental\ny Adecuado?\n- Como comunidad escolar, ¿en qué ámbito creen es más prioritario iniciar el trabajo?\n¿Por qué?\n• Analicen los elementos anteriores y consideren otros que a ustedes les parezcan\nimportantes, definan el desafío en conjunto con su comunidad intentando llegar a acuerdos.	Libro_uso_guia_metodologica.txt	system_metadata_qna_edited_manually:true|source:archivos.agenciaeducacion.cl/upperlibro_uso_guia_metodologica.pdf	[]	False	[]	7	Guía metodológica
Preguntas para la reflexión paso uno	La reflexión y discusión en torno a las siguientes preguntas ayudará a lograr el primer paso.\n• ¿Cuáles son las asignaturas más descendidas en los resultados? ¿En qué niveles se\nproducen los puntajes más bajos?\n• Si observan más de un problema, les sugerimos responder a las siguientes preguntas para\norientar su toma de decisión:\n- ¿Hay alguna dimensión en la que se les haya solicitado poner énfasis porque conlleva a\nun objetivo estratégico?\n- Si están revisando los resultados Simce no se queden solo en el puntaje, observen las\ntendencias y reconozcan si existen ámbitos que aún estén descendidos pero que manifiesten\nalguna tendencia al alza que quizás no sea necesario abordar en esta instancia. También\nes importante analizar la distribución de los estudiantes en cuanto al cumplimiento de los\nEstándares de Aprendizaje: ¿Cuántos estudiantes están en el nivel Insuficiente, Elemental\ny Adecuado?\n- Como comunidad escolar, ¿en qué ámbito creen es más prioritario iniciar el trabajo?\n¿Por qué?\n• Analicen los elementos anteriores y consideren otros que a ustedes les parezcan\nimportantes, definan el desafío en conjunto con su comunidad intentando llegar a acuerdos.	Libro_uso_guia_metodologica.txt	system_metadata_qna_edited_manually:true|source:archivos.agenciaeducacion.cl/upperlibro_uso_guia_metodologica.pdf	[]	False	[]	7	Guía metodológica
Ejemplos paso 1	*   Ejemplo de desafío desde el sostenedor: Nuestro desafío es que los estudiantes de la comuna que siguen descendidos en el área de Matemática logren mejorar a finales de este año.\n*   Ejemplo de desafío desde equipo directivo: Los estudiantes del primer ciclo de enseñanza básica están aún lejos de las expectativas de la institución en los aprendizajes de comprensión lectora, por lo que nuestro desafío institucional es mejorar esta situación.\n*   Ejemplo de desafío desde el docente: El desafío que queremos mejorar en mi curso es que un 63 % de mis alumnos se encuentra en niveles de aprendizaje Elemental o Insuficiente.	Libro_uso_guia_metodologica.txt	system_metadata_qna_edited_manually:true|source:archivos.agenciaeducacion.cl/upperlibro_uso_guia_metodologica.pdf	[]	False	[]	8	Guía metodológica
Ejemplos paso uno	*   Ejemplo de desafío desde el sostenedor: Nuestro desafío es que los estudiantes de la comuna que siguen descendidos en el área de Matemática logren mejorar a finales de este año.\n*   Ejemplo de desafío desde equipo directivo: Los estudiantes del primer ciclo de enseñanza básica están aún lejos de las expectativas de la institución en los aprendizajes de comprensión lectora, por lo que nuestro desafío institucional es mejorar esta situación.\n*   Ejemplo de desafío desde el docente: El desafío que queremos mejorar en mi curso es que un 63 % de mis alumnos se encuentra en niveles de aprendizaje Elemental o Insuficiente.	Libro_uso_guia_metodologica.txt	system_metadata_qna_edited_manually:true|source:archivos.agenciaeducacion.cl/upperlibro_uso_guia_metodologica.pdf	[]	False	[]	8	Guía metodológica
¿Qué hacer en el paso 2?	Una vez que se ha determinado la dimensión y/o foco a trabajar en función del desafío, es importante recoger los datos que serán fundamentales para comprender con mayor profundidad el problema.\n\nPara avanzar en este paso necesitamos antes que todo identificar los datos que tenemos, revisar su acceso y el ordenamiento conforme al desafío definido.\n\nAl momento de considerar la información relevante, no olviden que pueden revisar distintos tipos de datos:\n\n*   Datos internos levantados por el propio establecimiento educacional.\n*   Datos externos levantados por otras entidades.\n*   Datos cuantitativos: cantidades o representaciones numéricas, por ejemplo, puntaje de pruebas estandarizadas.\n*   Datos cualitativos: cualidades de algo, por ejemplo, opiniones o percepciones.\n\nDentro de esta gama de datos, seguramente algunos serán confiables y válidos, es decir, datos que surgen de instrumentos que miden lo que se pretende medir y que con su aplicación repetida, producirán iguales resultados. Pero también habrá otros sobre los cuales deberán trabajar en el futuro para lograr su confiabilidad y validez.	Libro_uso_guia_metodologica.txt	system_metadata_qna_edited_manually:true|source:archivos.agenciaeducacion.cl/upperlibro_uso_guia_metodologica.pdf	[]	False	[]	9	Guía metodológica
¿Qué hacer en el paso dos?	Una vez que se ha determinado la dimensión y/o foco a trabajar en función del desafío, es importante recoger los datos que serán fundamentales para comprender con mayor profundidad el problema.\n\nPara avanzar en este paso necesitamos antes que todo identificar los datos que tenemos, revisar su acceso y el ordenamiento conforme al desafío definido.\n\nAl momento de considerar la información relevante, no olviden que pueden revisar distintos tipos de datos:\n\n*   Datos internos levantados por el propio establecimiento educacional.\n*   Datos externos levantados por otras entidades.\n*   Datos cuantitativos: cantidades o representaciones numéricas, por ejemplo, puntaje de pruebas estandarizadas.\n*   Datos cualitativos: cualidades de algo, por ejemplo, opiniones o percepciones.\n\nDentro de esta gama de datos, seguramente algunos serán confiables y válidos, es decir, datos que surgen de instrumentos que miden lo que se pretende medir y que con su aplicación repetida, producirán iguales resultados. Pero también habrá otros sobre los cuales deberán trabajar en el futuro para lograr su confiabilidad y validez.	Libro_uso_guia_metodologica.txt	system_metadata_qna_edited_manually:true|source:archivos.agenciaeducacion.cl/upperlibro_uso_guia_metodologica.pdf	[]	False	[]	9	Guía metodológica
¿Cómo hacerlo en el paso 2?	¿Con qué datos contamos? ¿Cómo los recopilamos y organizamos?\n\nSeleccionamos los datos relevantes y válidos, es decir, aquellos que ofrezcan luces respecto del desafío planteado.\n\nPara llevar a cabo esta tarea, es necesario que se produzca una conversación que permita identificar datos potenciales y el lugar donde se encuentran almacenados, así también es importante identificar quién(es) tiene(n) acceso a la información. La siguiente tabla es una propuesta de ejemplo para llevar a cabo esta tarea.\n\n2. Una vez listados y organizados los datos que posee el establecimiento, seleccionar aquellos que están relacionados con el desafío que se acordó abordar.\n\n3. Es necesario tener siempre en consideración que un problema de aprendizaje es un problema complejo de revisar, ya que no solo requiere profundizar en las habilidades de los alumnos que presentan mayores dificultades sino que, además, seguramente está relacionado con la forma en cómo se enseña, en el involucramiento del apoderado y la gestión en el aula.	Libro_uso_guia_metodologica.txt	system_metadata_qna_edited_manually:true|source:archivos.agenciaeducacion.cl/upperlibro_uso_guia_metodologica.pdf	[]	False	[]	10	Guía metodológica
¿Cómo hacerlo en el paso dos?	¿Con qué datos contamos? ¿Cómo los recopilamos y organizamos?\n\nSeleccionamos los datos relevantes y válidos, es decir, aquellos que ofrezcan luces respecto del desafío planteado.\n\nPara llevar a cabo esta tarea, es necesario que se produzca una conversación que permita identificar datos potenciales y el lugar donde se encuentran almacenados, así también es importante identificar quién(es) tiene(n) acceso a la información. La siguiente tabla es una propuesta de ejemplo para llevar a cabo esta tarea.\n\n2. Una vez listados y organizados los datos que posee el establecimiento, seleccionar aquellos que están relacionados con el desafío que se acordó abordar.\n\n3. Es necesario tener siempre en consideración que un problema de aprendizaje es un problema complejo de revisar, ya que no solo requiere profundizar en las habilidades de los alumnos que presentan mayores dificultades sino que, además, seguramente está relacionado con la forma en cómo se enseña, en el involucramiento del apoderado y la gestión en el aula.	Libro_uso_guia_metodologica.txt	system_metadata_qna_edited_manually:true|source:archivos.agenciaeducacion.cl/upperlibro_uso_guia_metodologica.pdf	[]	False	[]	10	Guía metodológica
Preguntas para la reflexión paso 2	La reflexión y discusión en torno a las siguientes preguntas ayudará a seleccionar los datos\nrelevantes para el desafío:\n• ¿Qué datos de los estudiantes nos permitirían comprender con mayor detalle el porqué\nse produce el desafío? Piensen en datos internos y externos, así como en cualitativos y\ncuantitativos.\n• ¿Qué datos acerca de cómo se enseña pueden servir para profundizar en el conocimiento\nde lo que está sucediendo con los estudiantes?\n• ¿Qué datos de la gestión de la escuela podrían brindar mayor riqueza para comprender\nel problema?\n• ¿Cuáles son los sitios físicos y digitales donde se encuentran estos datos?, ¿Cómo se\npuede acceder a ellos?\n• ¿Son suficientes los datos recopilados o se requiere levantar más información?	Libro_uso_guia_metodologica.txt	system_metadata_qna_edited_manually:true|source:archivos.agenciaeducacion.cl/upperlibro_uso_guia_metodologica.pdf	[]	False	[]	11	Guía metodológica
Preguntas para la reflexión paso dos	La reflexión y discusión en torno a las siguientes preguntas ayudará a seleccionar los datos\nrelevantes para el desafío:\n• ¿Qué datos de los estudiantes nos permitirían comprender con mayor detalle el porqué\nse produce el desafío? Piensen en datos internos y externos, así como en cualitativos y\ncuantitativos.\n• ¿Qué datos acerca de cómo se enseña pueden servir para profundizar en el conocimiento\nde lo que está sucediendo con los estudiantes?\n• ¿Qué datos de la gestión de la escuela podrían brindar mayor riqueza para comprender\nel problema?\n• ¿Cuáles son los sitios físicos y digitales donde se encuentran estos datos?, ¿Cómo se\npuede acceder a ellos?\n• ¿Son suficientes los datos recopilados o se requiere levantar más información?	Libro_uso_guia_metodologica.txt	system_metadata_qna_edited_manually:true|source:archivos.agenciaeducacion.cl/upperlibro_uso_guia_metodologica.pdf	[]	False	[]	11	Guía metodológica
¿Qué hacer en el paso 3?	Corresponde a la fase analítica del proceso, en la que se busca profundizar lo que “los datos están diciendo” respecto del desafío que fue definido en el primer paso.\n\nEs necesario considerar que el uso de datos es un proceso por el cual las personas interactúan unas con otras para darle significado a la información que entregan, ganando nuevo conocimiento\n\npartir de la interacción, y llevando aquel conocimiento a la práctica.\n\nTodo ciclo de uso de datos comienza con la revisión del dato, sigue con la toma de decisiones en base a lo que se pensó -análisis e interpretación-, y luego concluye con la evaluación de acciones.\n\nAsimismo, considera la integración de fuentes de datos denominada triangulación, el uso de múltiples fuentes de datos similares para mejorar la comprensión y la interpretación; y el acoplamiento, término utilizado para describir la conexión entre los datos y la práctica: de manera colaborativa los actores escolares interactúan observándolos, compartiendo ideas acerca de la práctica, validando pensamientos sobre la interpretación, y entregando referencia contextual adicional al triángulo de información a partir de sus propias experiencias.\n\nTambién es importante que el equipo directivo revise y examine continuamente que los datos para tomar decisiones sean coherentes con la visión y la misión de la escuela.\n\nEsta alineación entre los datos y la misión interna permite monitorear continuamente el progreso hacia el logro de las metas y objetivos estratégicos a nivel institucional.\n\nLa siguiente figura ilustra este proceso:\n\n*   Conocimiento: A la información obtenida se suma el contexto y la interpretación colaborativa y participativa.\n*   Información: Se analizan los datos, se les da sentido y propósito, se conversa sobre ellos y cada participante opina desde sus creencias.\n*   Datos: Información recopilada sistemáticamente en el tiempo.	Libro_uso_guia_metodologica.txt	system_metadata_qna_edited_manually:true|source:archivos.agenciaeducacion.cl/upperlibro_uso_guia_metodologica.pdf	[]	False	[]	12	Guía metodológica
¿Qué hacer en el paso tres?	Corresponde a la fase analítica del proceso, en la que se busca profundizar lo que “los datos están diciendo” respecto del desafío que fue definido en el primer paso.\n\nEs necesario considerar que el uso de datos es un proceso por el cual las personas interactúan unas con otras para darle significado a la información que entregan, ganando nuevo conocimiento\n\npartir de la interacción, y llevando aquel conocimiento a la práctica.\n\nTodo ciclo de uso de datos comienza con la revisión del dato, sigue con la toma de decisiones en base a lo que se pensó -análisis e interpretación-, y luego concluye con la evaluación de acciones.\n\nAsimismo, considera la integración de fuentes de datos denominada triangulación, el uso de múltiples fuentes de datos similares para mejorar la comprensión y la interpretación; y el acoplamiento, término utilizado para describir la conexión entre los datos y la práctica: de manera colaborativa los actores escolares interactúan observándolos, compartiendo ideas acerca de la práctica, validando pensamientos sobre la interpretación, y entregando referencia contextual adicional al triángulo de información a partir de sus propias experiencias.\n\nTambién es importante que el equipo directivo revise y examine continuamente que los datos para tomar decisiones sean coherentes con la visión y la misión de la escuela.\n\nEsta alineación entre los datos y la misión interna permite monitorear continuamente el progreso hacia el logro de las metas y objetivos estratégicos a nivel institucional.\n\nLa siguiente figura ilustra este proceso:\n\n*   Conocimiento: A la información obtenida se suma el contexto y la interpretación colaborativa y participativa.\n*   Información: Se analizan los datos, se les da sentido y propósito, se conversa sobre ellos y cada participante opina desde sus creencias.\n*   Datos: Información recopilada sistemáticamente en el tiempo.	Libro_uso_guia_metodologica.txt	system_metadata_qna_edited_manually:true|source:archivos.agenciaeducacion.cl/upperlibro_uso_guia_metodologica.pdf	[]	False	[]	12	Guía metodológica
